Player,height,weight,college,born,birth_city,birth_state
Johnny Orr,190,88,Beloit College,1927,Yale,Kansas
Don Otten,208,108,Bowling Green State University,1921,Bellefontaine,Ohio
Mac Otten,201,99,Bowling Green State University,1925,Bellefontaine,Ohio
Red Owens,190,83,Baylor University,1925,,
Easy Parham,190,90,Texas Wesleyan University,1921,Fort Worth,Texas
Jack Parkinson,183,78,University of Kentucky,1924,Yorktown,Indiana
Charlie Parsley,188,79,Western Kentucky University,1925,,
Stan Patrick,188,83,University of Illinois at Urbana-Champaign,1922,,
Johnny Payak,193,78,Bowling Green State University,1926,,
Warren Perkins,190,86,Tulane University,1922,New Orleans,Louisiana
Ed Peterson,206,99,Cornell University,1924,,
Jack Phelan,196,88,DePaul University,1925,Chicago,Illinois
Andy Phillip*,188,88,University of Illinois at Urbana-Champaign,1922,Granite City,Illinois
Jim Pollard*,193,83,Stanford University,1922,Oakland,California
John Pritchard,206,99,Drake University,1927,,
Les Pugh,201,86,Ohio State University,1923,,
Don Putman,201,86,,1923,,
George Ratkovicz,198,99,,1922,Chicago,Illinois
Don Ray,196,86,Western Kentucky University,1921,Mt. Juliet,Tennessee
Chick Reiser,180,74,New York University,1914,,
Arnie Risen*,206,90,Ohio State University,1924,Williamstown,Kentucky
Tex Ritter,188,83,Eastern Kentucky University,1924,Richmond,Kentucky
Bill Roberts,206,95,University of Wyoming,1925,Fort Wayne,Indiana
Red Rocha,206,83,Oregon State University,1923,Hilo,Hawaii
Kenny Rollins,183,76,University of Kentucky,1923,Charlestown,Missouri
Bob Royer,178,70,Indiana State University,1927,,
Jerry Rullo,178,74,Temple University,1923,Philadelphia,Pennsylvania
Ed Sadowski,196,108,Seton Hall University,1917,Johnstown,Pennsylvania
Kenny Sailors,178,79,University of Wyoming,1921,Bushnell,Nebraska
Pep Saul,188,83,Seton Hall University,1924,,
Herm Schaefer,183,79,Indiana University,1918,Fort Wayne,Indiana
Marv Schatzman,196,90,Saint Louis University,1927,,
Fred Schaus,196,92,West Virginia University,1925,Newark,Ohio
Dolph Schayes*,203,99,New York University,1928,New York,New York
Milt Schoon,201,104,Valparaiso University,1922,,
Howie Schultz,198,90,Hamline University,1922,St. Paul,Minnesota
Dick Schulz,188,87,University of Wisconsin,1917,Racine,Wisconsin
Fred Scolari,178,81,University of San Francisco,1922,San Francisco,California
Wayne See,190,86,Northern Arizona University,1923,Clemenceau,Arizona
Glen Selbo,190,88,University of Wisconsin,1926,,
Rollie Seltz,178,74,Hamline University,1924,McIntosh,Minnesota
Jim Seminoff,188,86,University of Southern California,1922,Los Angelse,California
George Senesky,188,81,Saint Joseph's University,1922,Mahanoy City,Pennsylvania
Paul Seymour,185,81,University of Toledo,1928,Toledo,Ohio
Carl Shaeffer,190,83,University of Alabama,1924,Delphi,Indiana
Howie Shannon,188,79,Kansas State University,1923,Manhattan,Kansas
Charley Shipp,185,90,Catholic University of America,1913,,
Connie Simmons,203,100,,1925,Newark,New Jersey
Belus Smawley,185,88,Appalachian State University,1918,Golden Valley,North Carolina
Jack Smiley,190,86,University of Illinois at Urbana-Champaign,1922,Sandwich,Illinois
Chips Sobek,183,81,University of Notre Dame,1920,,
Odie Spears,196,92,Western Kentucky University,1925,,
Art Spector,193,90,Villanova University,1920,Philadelphia,Pennsylvania
Ed Stanczak,185,83,,1921,,
Gene Stump,188,83,DePaul University,1923,,
Mike Todorovich,196,99,University of Wyoming,1923,,
Jack Toomay,198,97,University of the Pacific,1922,Ontario,California
Bob Tough,183,83,St. John's University,1920,New York,New York
Blackie Towery,193,95,Western Kentucky University,1920,Caldwell,Kentucky
Dick Triptow,183,77,DePaul University,1922,Chicago,Illinois
Butch Van,183,77,,1922,,
Gene Vance,190,88,University of Illinois at Urbana-Champaign,1923,,
Ernie Vandeweghe,190,88,Colgate University,1928,Montreal,Canada
Floyd Volker,193,92,University of Wyoming,1921,Casper,Wyoming
Whitey Von,193,92,,1921,,
Clint Wager,198,95,Saint Mary's University of Minnesota,1920,Winona,Minnesota
Danny Wagner,183,77,University of Texas at Austin,1922,,
Brady Walker,198,92,Brigham Young University,1921,Provo,Utah
Paul Walther,188,72,University of Tennessee,1927,Covington,Kentucky
Bobby Wanzer*,183,77,Seton Hall University,1921,Brooklyn,New York
Murray Wier,175,70,University of Iowa,1926,Grand View,Iowa
D.C. Wilcutt,175,70,,1926,,
Bob Wood,175,70,Northern Illinois University,1921,,
Max Zaslofsky,188,77,St. John's University,1925,Brooklyn,New York
nan,,,nan,,,
Paul Arizin*,193,86,Villanova University,1928,Philadelphia,Pennsylvania
Ed Beach,190,90,West Virginia University,1929,,
Leon Blevins,188,72,University of Arizona,1926,,
Ike Borsavage,203,99,Temple University,1924,Plymouth,Pennsylvania
Art Burris,196,99,University of Tennessee,1924,,
Gerry Calabrese,185,79,St. John's University,1925,Hoboken,New Jersey
Cal Christensen,196,95,University of Toledo,1927,,
Nat Clifton*,198,99,Xavier University of Louisiana,1922,Little Rock,Arkansas
Chuck Cooper,196,95,Duquesne University,1926,,
Bob Cousy*,185,79,College of the Holy Cross,1928,New York,New York
Hank DeZonie,198,97,Clark Atlanta University,1922,,
Bob Donham,188,86,Ohio State University,1926,,
Ray Ellefson,203,104,West Texas A&M University,1922,Brookings,South Dakota
Larry Foust,206,97,La Salle University,1928,Painesville,Ohio
Ed Gayda,193,95,Washington State University,1927,,
Joe Hutton,185,77,Hamline University,1928,,
Bob Lavoy,201,83,Western Kentucky University,1926,,
Earl Lloyd*,196,90,West Virginia State University,1928,,
Don Lofgran,196,90,University of San Francisco,1928,Oakland,California
Norm Mager,196,83,City College of New York,1926,,
Joe McNamee,198,95,University of San Francisco,1926,,
Chuck Mrazovich,196,83,Eastern Kentucky University,1924,,
Ken Murray,188,86,St. Bonaventure University,1928,,
Tommy O'Keefe,188,83,Georgetown University,1928,Jersey City,New Jersey
Kevin O'Shea,188,79,University of Notre Dame,1925,San Francisco,California
Don Rehfeldt,201,95,University of Wisconsin,1927,Chicago,Illinois
Jim Riffey,193,90,Tulane University,1923,,
Alan Sawyer,196,88,"University of California, Los Angeles",1928,Long Beach,California
Herb Scherer,206,96,Long Island University,1928,,
Dick Schnittker,196,90,Ohio State University,1928,Kelleys Island,Ohio
Bill Sharman*,185,79,University of Southern California,1926,Abilene,Texas
Don Barksdale*,198,90,"University of California, Los Angeles",1923,Oakland,California
Elmer Behnke,201,95,Bradley University,1929,Rockford,Illinois
Stan Brown,190,90,,1929,,
Ed Dahler,196,86,Duquesne University,1926,,
Nate DeLong,198,99,University of Wisconsin-River Falls,1926,,
Dick Dickey,185,79,North Carolina State University,1926,Grant County,Indiana
Jake Fendley,183,81,Northwestern University,1929,,
Jerry Fowler,203,104,University of Missouri,1927,,
Lew Hitch,203,90,Kansas State University,1929,Griggsville,Illinois
Mel Hutchins,198,90,Brigham Young University,1928,Sacramento,California
Neil Johnston*,203,95,Ohio State University,1929,Chillicothe,Ohio
Jack Kiley,185,77,Syracuse University,1929,,
George King,183,79,University of Charleston,1928,Charleston,West Virginia
John McConathy,196,88,Northwestern State University,1930,Sailes,Louisiana
Alfred McGuire*,188,81,St. John's University,1928,New York,New York
Dave Minor,188,83,"University of California, Los Angeles",1922,Missouri,
Ralph O'Brien,175,72,Butler University,1928,Henshaw,Kentucky
Wally Osterkorn,196,97,University of Illinois at Urbana-Champaign,1928,,
Mel Payton,193,83,Tulane University,1926,,
John Pilch,190,83,University of Wyoming,1925,Sheridan,Wyoming
Ray Ragelis,193,92,Northwestern University,1928,,
Sam Ranzino,185,83,North Carolina State University,1927,Gary,Indiana
John Rennicke,188,83,Drake University,1929,,
Don Savage,190,92,LeMoyne College,1928,,
Chuck Share,211,106,Bowling Green State University,1927,,
Zeke Sinicola,178,74,Niagara University,1929,,
Whitey Skoog,180,81,University of Minnesota,1926,Duluth,Minnesota
Jim Slaughter,211,95,University of South Carolina,1928,,
Bill Tosheff,185,79,Indiana University,1926,,
Bob Wilson,193,83,West Virginia State University,1926,,
Jim Baechtold,193,92,Eastern Kentucky University,1927,McKeesport,Pennsylvania
Jim Brasco,185,77,New York University,1931,Brooklyn,New York
Dick Bunt,183,77,New York University,1930,Queens,New York
Gene Conley,203,102,Washington State University,1930,Muskogee,Oklahoma
Pete Darcey,201,98,Oklahoma State University,1930,,
Blaine Denning,188,79,Lawrence Technological University,1930,,
Danny Finn,185,83,St. John's University,1928,,
Dick Groat,180,81,Duke University,1930,Wilkinsburg,Pennsylvania
Don Hanrahan,201,90,Loyola University of Chicago,1929,,
Don Henriksen,201,102,University of California,1929,,
Jim Holstein,190,81,University of Cincinnati,1930,,
Bob Lochmueller,196,83,University of Louisville,1927,,
Mo Mahoney,188,92,Brown University,1927,,
Al Masino,178,78,Canisius College,1928,,
Jack McCloskey,188,86,University of Pennsylvania,1925,Mahanoy City,Pennsylvania
Bucky McConnell,178,77,Marshall University,1928,,
George McLeod,196,90,Texas Christian University,1931,,
Jack McMahon,185,83,St. John's University,1928,,
Monk Meineke,201,94,University of Dayton,1930,Dayton,Ohio
Eddie Miller,203,102,Syracuse University,1931,,
Bill Mlkvy,193,86,Temple University,1931,Palmerton,Pennsylvania
Jim Mooney,196,97,Villanova University,1930,,
Bob Naber,190,83,University of Louisville,1929,,
John O'Boyle,188,83,Colorado State University,1928,,
Mike O'Neill,190,95,University of California,1928,,
Claude Overton,188,88,East Central University,1927,,
Ralph Polson,201,90,Whitworth,1929,,
Bob Priddy,190,86,New Mexico State University,1930,,
Moe Radovich,183,72,University of Wyoming,1929,,
Sherwin Raiken,188,83,Villanova University,1928,,
Gene Rhodes,185,77,Western Kentucky University,1927,,
Dick Surhoff,193,95,Long Island University,1929,,
Mark Workman,206,97,West Virginia University,1930,Charleston,West Virginia
Zeke Zawoluk,201,97,St. John's University,1930,Brooklyn,New York
Don Ackerman,183,83,Long Island University,1930,New York,New York
Don Asmonga,188,83,Alliance College,1928,West Mifflin,Pennsylvania
Ernie Barrett,190,81,Kansas State University,1929,Pratt,Kansas
Ernie Beck,193,86,University of Pennsylvania,1931,Philadelphia,Pennsylvania
Irv Bemoras,190,83,University of Illinois at Urbana-Champaign,1930,,
Bill Bolger,196,92,Georgetown University,1931,,
Walt Davis,203,92,Texas A&M University,1931,Beaumont,Texas
Gene Dyker,198,102,DePaul University,1930,,
Ed Earle,190,86,Loyola University of Chicago,1927,,
Ray Felix,211,99,Long Island University,1930,New York,New York
Jim Fritsche,203,95,Hamline University,1931,,
Jack George,188,86,La Salle University,1928,Swissvale,Pennsylvania
Bato Govedarica,180,83,DePaul University,1928,,
Norm Grekin,196,81,La Salle University,1930,Philadelphia,Pennsylvania
Rollen Hans,188,95,Long Island University,1931,,
Bob Houbregs*,201,95,University of Washington,1932,Vancouver,Canada
Billy Kenville,188,84,St. Bonaventure University,1930,Elmhurst,New York
Dick Knostman,198,97,Kansas State University,1931,Wamego,Kansas
Clyde Lovellette*,206,106,University of Kansas,1929,Petersburg,Indiana
Jim Luisi,188,81,St. Francis College,1928,,
Jack Molinas,198,90,Columbia University,1931,New York,New York
Jim Neal,211,106,Wofford College,1930,,
Paul Nolen,211,106,Texas Tech University,1929,,
Bob Peterson,196,95,University of Oregon,1932,San Mateo,California
James Phelan,196,88,DePaul University,1925,Chicago,Illinois
Connie Rea,190,79,Centenary College of Louisiana,1935,,
Frank Reddout,196,88,Syracuse University,1935,,
Al Roges,193,88,Long Island University,1930,,
Ed Smith,198,81,Harvard University,1929,West Jefferson,Ohio
Joe Smyth,190,97,Niagara University,1929,,
Don Sunderlage,185,81,University of Illinois at Urbana-Champaign,1929,Roselle,Illinois
Norm Swanson,198,95,University of Detroit Mercy,1930,Chicago,Illinois
Hal Uplinger,193,83,Long Island University,1929,,
Isaac Walthour,180,73,,1930,New York City,New York
George Yardley*,196,86,Stanford University,1928,Hollywood,California
Don Anielak,201,86,Missouri State University,1930,,
Tom Brennan,190,88,Villanova University,1930,,
Bob Carney,190,77,Bradley University,1932,,
Fred Christ,193,95,Fordham University,1930,,
Bert Cook,190,83,Utah State University,1929,,
Larry Costello,185,84,Niagara University,1931,Minoa,New York
George Dempsey,188,86,King's College,1929,Philadelphia,Pennsylvania
Fred Diute,190,95,St. Bonaventure University,1929,,
Dick Farley,193,86,Indiana University,1932,,
Chuck Grigsby,196,86,University of Dayton,1928,Dayton,Ohio
Herm Hedderick,196,77,Canisius College,1930,Erie,Pennsylvania
Ed Kalafat,198,111,University of Minnesota,1932,,
Mike Kearns,188,80,Princeton University,1929,Trenton,New Jersey
Red Kerr,206,104,University of Illinois at Urbana-Champaign,1932,Chicago,Illinois
Dan King,198,99,Western Kentucky University,1931,,
Bob Knight,188,83,,1929,,
Ronnie MacGilvray,188,83,St. John's University,1930,,
Tom Marshall,193,97,Western Kentucky University,1931,,
Phil Martin,190,86,University of Toledo,1928,,
Ken McBride,190,86,University of Maryland Eastern Shore,1928,,
Carl McNulty,190,83,Purdue University,1930,,
Jackie Moore,196,81,La Salle University,1932,Philadelphia,Pennsylvania
Red Morrison,203,99,University of Idaho,1932,,
Boris Nachamkin,198,95,New York University,1933,,
Togo Palazzi,193,92,College of the Holy Cross,1932,Union City,New Jersey
Bob Pettit*,206,92,Louisiana State University,1932,Baton Rouge,Louisiana
Frank Ramsey*,190,86,University of Kentucky,1931,Corydon,Kentucky
Dick Rosenthal,196,92,University of Notre Dame,1930,,
Frank Selvy,190,81,Furman University,1932,Corbin,Kentucky
Gene Shue,188,77,University of Maryland,1931,Baltimore,Maryland
Art Spoelstra,206,99,Western Kentucky University,1932,,
Jim Tucker,201,83,Duquesne University,1932,Paris,Kentucky
Jack Turner,193,77,Western Kentucky University,1930,Bedford,Indiana
Bobby Watson,183,72,University of Kentucky,1930,Central City,Kentucky
Skippy Whitaker,185,81,University of Kentucky,1930,,
Jesse Arnelle,196,99,Pennsylvania State University,1933,New Rochelle,New York
Dick Atha,188,86,Indiana State University,1931,Otterbein,Indiana
Don Bielke,201,108,Valparaiso University,1931,,
Ed Conlin,196,90,Fordham University,1933,,
Red Davis,201,99,St. John's University,1932,,
Corky Devlin,196,88,George Washington University,1931,,
Walter Dukes,213,99,Seton Hall University,1930,Rochester,New York
Ron Feiereisel,190,83,DePaul University,1931,,
Al Ferrari,193,86,Michigan State University,1933,New York,New York
Ed Fleming,190,85,Niagara University,1933,,
Dick Garmaker,190,90,University of Minnesota,1932,Hibbing,Minnesota
Tom Gola*,198,92,La Salle University,1933,Philadelphia,Pennsylvania
Chris Harris,190,86,University of Dayton,1933,Southampton,United Kingdom
Dick Hemric,198,99,Wake Forest University,1933,Jonesville,North Carolina
Larry Hennessy,190,83,Villanova University,1929,,
Johnny Horan,203,86,University of Dayton,1932,,
Jim Loscutoff,196,99,University of Oregon,1930,San Francisco,California
Chuck Mencel,183,76,University of Minnesota,1933,Phillips,Wisconsin
Chuck Noble,193,86,University of Louisville,1931,,
Med Park,188,92,University of Missouri,1933,Britton,South Dakota
Richie Regan,188,81,Seton Hall University,1930,Newark,New Jersey
Dick Ricketts,201,97,Duquesne University,1933,Pottstown,Pennsylvania
Bob Santini,196,86,Iona College,1935,Bronx,New York
Bob Schafer,190,88,Villanova University,1935,,
Kenny Sears,206,89,Santa Clara University,1933,Watsonville,California
Jack Stephens,190,83,University of Notre Dame,1933,,
Maurice Stokes*,201,105,Saint Francis University,1933,Pittsburgh,Pennsylvania
Jack Twyman*,198,95,University of Cincinnati,1934,Pittsburgh,Pennsylvania
Bob Williams,198,104,Florida Agricultural and Mechanical University,1931,,
Forest Able,190,81,Western Kentucky University,1932,,
Bob Armstrong,203,99,Michigan State University,1933,Detroit,Michigan
John Barber,198,95,"California State University, Los Angeles",1927,,
Gary Bergen,203,95,University of Utah,1932,Independence,Missouri
Al Bianchi,190,83,Bowling Green State University,1932,Long Island City,New York
Bob Burrow,201,103,University of Kentucky,1934,Malvern,Arkansas
Si Green,188,83,Duquesne University,1933,New York,New York
Richie Guerin*,193,88,Iona College,1932,New York,New York
Cliff Hagan*,193,95,University of Kentucky,1931,Owensboro,Kentucky
Tom Heinsohn*,201,98,College of the Holy Cross,1934,Union City,New Jersey
Joe Holup,198,97,George Washington University,1934,,
Bob Hopkins,203,92,Grambling State University,1934,Jonesboro,Louisiana
Phil Jordon,208,92,Whitworth,1933,Lakeport,California
Hal Lear,183,73,Temple University,1935,Philadelphia,Pennsylvania
Slick Leonard*,190,83,Indiana University,1932,Terre Haute,Indiana
Johnny McCarthy,185,83,Canisius College,1934,,
Willie Naulls,198,102,"University of California, Los Angeles",1934,Dallas,Texas
Jim Paxson,198,90,University of Dayton,1932,Pennville,Indiana
Dave Piontek,198,104,Xavier University,1934,,
Jim Ray,185,81,University of Toledo,1934,,
Bill Russell*,208,97,University of San Francisco,1934,Monroe,Louisiana
Ron Shavlik,203,90,North Carolina State University,1933,Denver,Colorado
Ron Sobie,190,83,DePaul University,1934,Chicago,Illinois
Norm Stewart,196,92,University of Missouri,1935,Leonard,Missouri
Bill Thieben,201,97,Hofstra University,1935,,
Lou Tsioropoulos,196,86,University of Kentucky,1930,Lynn,Massachusetts
Doug Bolstorff,193,88,University of Minnesota,1931,,
George Brown,198,86,Wayne State University,1935,,
Dick Duckett,185,83,St. John's University,1933,,
Pat Dunn,188,77,Utah State University,1931,,
Bill Ebben,193,86,University of Detroit Mercy,1935,,
Bo Erias,190,99,Niagara University,1932,Astoria,New York
Larry Friend,193,83,University of California,1935,Chicago,Illinois
Hot Rod,193,83,,1935,,
McCoy Ingram,203,95,Jackson State University,1931,,
Sam Jones*,193,89,North Carolina Central University,1933,Wilmington,North Carolina
Jim Krebs,203,104,Southern Methodist University,1935,Webster Groves,Missouri
Brendan McCann,188,80,St. Bonaventure University,1935,Brooklyn,New York
Worthy Patterson,188,79,University of Connecticut,1931,New Haven,Connecticut
Jerry Paulson,188,83,Manhattan College,1935,,
Ray Radziszewski,196,95,Saint Joseph's University,1935,,
Lennie Rosenbluth,193,86,University of North Carolina,1933,New York,New York
Woody Sauldsberry,201,99,Texas Southern University,1934,Winnsboro,Louisiana
Guy Sparrow,198,98,University of Detroit Mercy,1932,Pontiac,Michigan
Charlie Tyra,203,104,University of Louisville,1935,Louisville,Kentucky
Jim Walsh,193,88,Stanford University,1930,San Francisco,California
Win Wilfong,188,83,University of Memphis,1933,,
Elgin Baylor*,196,102,Seattle University,1934,Washington,District of Columbia
Jerry Bird,198,95,University of Kentucky,1935,Corbin,Kentucky
Bucky Bockhorn,193,90,University of Dayton,1933,Campbell Hill,Illinois
Pete Brennan,198,92,University of North Carolina,1936,Brooklyn,New York
Barney Cable,201,79,Bradley University,1935,,
Archie Dees,203,92,Indiana University,1936,Ethel,Mississippi
Connie Dierking,206,100,University of Cincinnati,1936,Brooklyn,New York
Boo Ellis,196,83,Niagara University,1936,,
