customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4183_MYFRB,Female,0,No,No,21,Yes,No,FiberOptic,No,Yes,Yes,No,No,Yes,Month_to_month,Yes,ElectronicCheck,90.05,1862.9,No
8779_QRDMV,Male,1,No,No,1,No,NoPhoneService,DSL,No,No,Yes,No,No,Yes,Month_to_month,Yes,ElectronicCheck,39.65,39.65,Yes
1680_VDCWW,Male,0,Yes,No,12,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,OneYear,No,BankTransferAutomatic,19.8,202.25,No
1066_JKSGK,Male,0,No,No,1,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,MailedCheck,20.15,20.15,Yes
3638_WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,TwoYear,Yes,CreditCardAutomatic,59.9,3505.1,No
6322_HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month_to_month,No,CreditCardAutomatic,59.6,2970.3,No
6865_JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month_to_month,Yes,BankTransferAutomatic,55.3,1530.6,No
6467_CHFZW,Male,0,Yes,Yes,47,Yes,Yes,FiberOptic,No,Yes,No,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,99.35,4749.15,Yes
8665_UTDHZ,Male,0,Yes,Yes,1,No,NoPhoneService,DSL,No,Yes,No,No,No,No,Month_to_month,No,ElectronicCheck,30.2,30.2,Yes
5248_YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,TwoYear,Yes,CreditCardAutomatic,90.25,6369.45,No
8773_HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month_to_month,Yes,MailedCheck,64.7,1093.1,Yes
3841_NFECX,Female,1,Yes,No,71,Yes,Yes,FiberOptic,Yes,Yes,Yes,Yes,No,No,TwoYear,Yes,CreditCardAutomatic,96.35,6766.95,No
4929_XIHVW,Male,1,Yes,No,2,Yes,No,FiberOptic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,CreditCardAutomatic,95.5,181.65,No
6827_IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,OneYear,No,MailedCheck,66.15,1874.45,No
7310_EGVHZ,Male,0,No,No,1,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,BankTransferAutomatic,20.2,20.2,No
3413_BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month_to_month,No,BankTransferAutomatic,45.25,45.25,No
6234_RAAPL,Female,0,Yes,Yes,72,Yes,Yes,FiberOptic,Yes,Yes,No,Yes,Yes,No,TwoYear,No,BankTransferAutomatic,99.9,7251.7,No
6047_YHPVI,Male,0,No,No,5,Yes,No,FiberOptic,No,No,No,No,No,No,Month_to_month,Yes,ElectronicCheck,69.7,316.9,Yes
6572_ADKRS,Female,0,No,No,46,Yes,No,FiberOptic,No,No,Yes,No,No,No,Month_to_month,Yes,CreditCardAutomatic,74.8,3548.3,No
5380_WJKOV,Male,0,No,No,34,Yes,Yes,FiberOptic,No,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,106.35,3549.25,Yes
8168_UQWWF,Female,0,No,No,11,Yes,Yes,FiberOptic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,BankTransferAutomatic,97.85,1105.4,Yes
8865_TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,OneYear,No,MailedCheck,49.55,475.7,No
9489_DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,TwoYear,Yes,CreditCardAutomatic,69.2,4872.35,No
9867_JCZSP,Female,0,Yes,Yes,17,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,OneYear,No,MailedCheck,20.75,418.25,No
4671_VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,TwoYear,Yes,CreditCardAutomatic,79.85,4861.45,No
4080_IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month_to_month,Yes,ElectronicCheck,76.2,981.45,No
3714_NTNFO,Female,0,No,No,49,Yes,Yes,FiberOptic,No,No,No,No,No,Yes,Month_to_month,Yes,ElectronicCheck,84.5,3906.7,No
5948_UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month_to_month,No,MailedCheck,49.25,97,No
7760_OYPDY,Female,0,No,No,2,Yes,No,FiberOptic,No,No,No,No,Yes,No,Month_to_month,Yes,ElectronicCheck,80.65,144.15,Yes
7639_LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,TwoYear,Yes,CreditCardAutomatic,79.75,4217.8,No
2954_PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,TwoYear,Yes,CreditCardAutomatic,64.15,4254.1,No
8012_SOUDQ,Female,1,No,No,43,Yes,Yes,FiberOptic,No,Yes,No,No,Yes,No,Month_to_month,Yes,ElectronicCheck,90.25,3838.75,No
9420_LOJKX,Female,0,No,No,15,Yes,No,FiberOptic,Yes,Yes,No,No,Yes,Yes,Month_to_month,Yes,CreditCardAutomatic,99.1,1426.4,Yes
6575_SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month_to_month,Yes,CreditCardAutomatic,69.5,1752.65,No
7495_OOKFY,Female,1,Yes,No,8,Yes,Yes,FiberOptic,No,Yes,No,No,No,No,Month_to_month,Yes,CreditCardAutomatic,80.65,633.3,Yes
4667_QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,OneYear,Yes,CreditCardAutomatic,74.85,4456.35,No
1658_BYGOY,Male,1,No,No,18,Yes,Yes,FiberOptic,No,No,No,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,95.45,1752.55,Yes
8769_KKTPH,Female,0,Yes,Yes,63,Yes,Yes,FiberOptic,Yes,No,No,No,Yes,Yes,OneYear,Yes,CreditCardAutomatic,99.65,6311.2,No
5067_XJQFU,Male,1,Yes,Yes,66,Yes,Yes,FiberOptic,No,Yes,Yes,Yes,Yes,Yes,OneYear,Yes,ElectronicCheck,108.45,7076.35,No
3957_SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,CreditCardAutomatic,24.95,894.3,No
5954_BDFSG,Female,0,No,No,72,Yes,Yes,FiberOptic,No,No,Yes,Yes,Yes,Yes,TwoYear,Yes,CreditCardAutomatic,107.5,7853.7,No
0434_CSFON,Female,0,Yes,No,47,Yes,Yes,FiberOptic,No,No,Yes,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,100.5,4707.1,No
1215_FIGMP,Male,0,No,No,60,Yes,Yes,FiberOptic,No,Yes,No,No,Yes,No,Month_to_month,Yes,BankTransferAutomatic,89.9,5450.7,No
0526_SXDJP,Male,0,Yes,No,72,No,NoPhoneService,DSL,Yes,Yes,Yes,No,No,No,TwoYear,No,BankTransferAutomatic,42.1,2962,No
0557_ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,OneYear,Yes,CreditCardAutomatic,54.4,957.1,No
5698_BQJOH,Female,0,No,No,9,Yes,Yes,FiberOptic,No,No,No,No,Yes,Yes,Month_to_month,No,ElectronicCheck,94.4,857.25,Yes
5122_CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month_to_month,Yes,ElectronicCheck,75.3,244.1,No
8627_ZYGSZ,Male,0,Yes,No,47,Yes,Yes,FiberOptic,No,Yes,No,No,No,No,OneYear,Yes,ElectronicCheck,78.9,3650.35,No
3410_YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,TwoYear,No,MailedCheck,79.2,2497.2,No
3170_NMYVV,Female,0,Yes,Yes,50,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,BankTransferAutomatic,20.15,930.9,No
7410_OIEDU,Male,0,No,No,10,Yes,No,FiberOptic,Yes,No,Yes,No,No,No,Month_to_month,Yes,MailedCheck,79.85,887.35,No
2273_QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month_to_month,No,MailedCheck,49.05,49.05,No
0731_EBJQB,Female,0,Yes,Yes,52,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,OneYear,Yes,ElectronicCheck,20.4,1090.65,No
1891_QRQSA,Male,1,Yes,Yes,64,Yes,Yes,FiberOptic,Yes,No,Yes,Yes,Yes,Yes,TwoYear,Yes,BankTransferAutomatic,111.6,7099,No
8028_PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,Yes,BankTransferAutomatic,24.25,1424.6,No
5630_AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month_to_month,Yes,BankTransferAutomatic,64.5,177.4,No
2673_CXQEU,Female,1,No,No,56,Yes,Yes,FiberOptic,Yes,Yes,Yes,No,Yes,Yes,OneYear,No,ElectronicCheck,110.5,6139.5,No
6416_JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,OneYear,No,CreditCardAutomatic,55.65,2688.85,No
5590_ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month_to_month,No,MailedCheck,54.65,482.25,No
0191_ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,74.75,2111.3,No
3887_PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,OneYear,Yes,CreditCardAutomatic,25.9,1216.6,No
5919_TMRGD,Female,0,No,Yes,1,Yes,No,FiberOptic,No,No,No,No,Yes,No,Month_to_month,Yes,ElectronicCheck,79.35,79.35,Yes
8108_UXRQN,Female,0,Yes,Yes,11,No,NoPhoneService,DSL,Yes,No,No,No,Yes,Yes,Month_to_month,No,ElectronicCheck,50.55,565.35,No
9191_MYQKX,Female,0,Yes,No,7,Yes,No,FiberOptic,No,No,Yes,No,No,No,Month_to_month,Yes,BankTransferAutomatic,75.15,496.9,Yes
9919_YLNNG,Female,0,No,No,42,Yes,No,FiberOptic,No,Yes,Yes,Yes,Yes,Yes,Month_to_month,Yes,BankTransferAutomatic,103.8,4327.5,No
0318_ZOPWS,Female,0,Yes,No,49,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,Yes,BankTransferAutomatic,20.15,973.35,No
4445_ZJNMU,Male,0,No,No,9,Yes,Yes,FiberOptic,No,Yes,No,No,Yes,Yes,Month_to_month,Yes,CreditCardAutomatic,99.3,918.75,No
4808_YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,OneYear,Yes,BankTransferAutomatic,62.15,2215.45,No
1862_QRWPE,Female,0,Yes,Yes,48,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,BankTransferAutomatic,20.65,1057,No
2796_NNUFI,Female,0,Yes,Yes,46,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,Yes,MailedCheck,19.95,927.1,No
3016_KSVCP,Male,0,Yes,No,29,No,NoPhoneService,DSL,No,No,No,No,Yes,No,Month_to_month,No,MailedCheck,33.75,1009.25,No
4767_HZZHQ,Male,0,Yes,Yes,30,Yes,No,FiberOptic,No,Yes,Yes,No,No,No,Month_to_month,No,BankTransferAutomatic,82.05,2570.2,No
2424_WVHPL,Male,1,No,No,1,Yes,No,FiberOptic,No,No,No,Yes,No,No,Month_to_month,No,ElectronicCheck,74.7,74.7,No
7233_PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,TwoYear,Yes,MailedCheck,84,5714.25,No
6067_NGCEU,Female,0,No,No,65,Yes,Yes,FiberOptic,Yes,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,CreditCardAutomatic,111.05,7107,No
9848_JQJTX,Male,0,No,No,72,Yes,Yes,FiberOptic,No,Yes,Yes,No,Yes,Yes,TwoYear,Yes,BankTransferAutomatic,100.9,7459.05,No
8637_XJIVR,Female,0,No,No,12,Yes,Yes,FiberOptic,Yes,No,No,No,No,No,Month_to_month,Yes,ElectronicCheck,78.95,927.35,Yes
9803_FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,OneYear,Yes,CreditCardAutomatic,66.85,4748.7,No
0278_YXOOG,Male,0,No,No,5,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,MailedCheck,21.05,113.85,Yes
3212_KXOCR,Male,0,No,No,52,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,BankTransferAutomatic,21,1107.2,No
4598_XLKNJ,Female,1,Yes,No,25,Yes,No,FiberOptic,No,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,98.5,2514.5,Yes
6380_ARCEH,Male,0,No,No,1,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,MailedCheck,20.2,20.2,No
3679_XASPY,Female,0,Yes,Yes,1,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,ElectronicCheck,19.45,19.45,No
7123_WQUHX,Male,0,No,No,38,Yes,Yes,FiberOptic,No,No,Yes,Yes,Yes,No,OneYear,No,BankTransferAutomatic,95,3605.6,No
5386_THSLQ,Female,1,Yes,No,66,No,NoPhoneService,DSL,No,Yes,Yes,No,Yes,No,OneYear,No,BankTransferAutomatic,45.55,3027.25,No
3192_NQECA,Male,0,Yes,No,68,Yes,Yes,FiberOptic,No,Yes,Yes,Yes,Yes,Yes,TwoYear,Yes,BankTransferAutomatic,110,7611.85,Yes
6180_YBIQI,Male,0,No,No,5,No,NoPhoneService,DSL,No,No,No,No,No,No,Month_to_month,No,MailedCheck,24.3,100.2,No
6728_DKUCO,Female,0,Yes,Yes,72,Yes,Yes,FiberOptic,Yes,Yes,No,No,Yes,Yes,OneYear,Yes,ElectronicCheck,104.15,7303.05,No
9750_BOOHV,Female,0,No,No,32,No,NoPhoneService,DSL,Yes,No,No,No,No,No,OneYear,No,MailedCheck,30.15,927.65,No
8597_CWYHH,Male,0,No,No,43,Yes,Yes,FiberOptic,No,No,No,No,Yes,Yes,OneYear,No,MailedCheck,94.35,3921.3,No
2848_YXSMW,Male,0,Yes,Yes,72,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,CreditCardAutomatic,19.4,1363.25,No
0486_HECZI,Male,0,Yes,No,55,Yes,Yes,FiberOptic,Yes,Yes,No,No,Yes,No,Month_to_month,Yes,ElectronicCheck,96.75,5238.9,Yes
4549_ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,OneYear,No,CreditCardAutomatic,57.95,3042.25,No
5712_AHQNN,Female,0,No,No,43,Yes,No,FiberOptic,No,Yes,Yes,No,Yes,No,Month_to_month,Yes,ElectronicCheck,91.65,3954.1,No
4846_WHAFZ,Female,1,Yes,No,37,Yes,Yes,FiberOptic,No,No,No,No,No,No,Month_to_month,Yes,ElectronicCheck,76.5,2868.15,Yes
5256_SKJGO,Female,0,Yes,Yes,64,No,NoPhoneService,DSL,No,Yes,No,Yes,Yes,Yes,TwoYear,Yes,ElectronicCheck,54.6,3423.5,No
3071_VBYPO,Male,0,Yes,Yes,3,Yes,No,FiberOptic,Yes,Yes,No,No,Yes,No,Month_to_month,No,ElectronicCheck,89.85,248.4,No
9560_BBZXK,Female,0,No,No,36,No,NoPhoneService,DSL,Yes,No,No,No,No,No,TwoYear,No,BankTransferAutomatic,31.05,1126.35,No
5299_RULOA,Female,0,Yes,Yes,10,Yes,Yes,FiberOptic,Yes,No,No,No,Yes,Yes,Month_to_month,Yes,ElectronicCheck,100.25,1064.65,Yes
8402_OOOHJ,Female,0,No,No,41,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,MailedCheck,20.65,835.15,No
9445_ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,FiberOptic,No,Yes,No,Yes,No,No,Month_to_month,Yes,CreditCardAutomatic,85.2,2151.6,No
1091_SOZGA,Female,0,Yes,Yes,56,Yes,Yes,FiberOptic,No,No,Yes,No,Yes,Yes,OneYear,Yes,CreditCardAutomatic,99.8,5515.45,No
2928_HLDBA,Female,0,No,No,6,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,MailedCheck,20.7,112.75,No
0404_SWRVG,Male,0,No,No,3,Yes,Yes,FiberOptic,No,No,No,No,No,No,Month_to_month,Yes,ElectronicCheck,74.4,229.55,Yes
6497_TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month_to_month,No,MailedCheck,50.7,350.35,No
7219_TLZHO,Female,0,Yes,Yes,4,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,MailedCheck,20.85,62.9,No
4622_YNKIJ,Male,0,No,No,33,Yes,No,FiberOptic,Yes,No,No,Yes,Yes,No,TwoYear,Yes,ElectronicCheck,88.95,3027.65,No
4412_YLTKF,Female,1,No,No,27,Yes,Yes,FiberOptic,No,No,Yes,No,No,No,Month_to_month,Yes,ElectronicCheck,78.05,2135.5,Yes
6734_PSBAW,Male,0,Yes,No,72,Yes,Yes,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,Yes,BankTransferAutomatic,23.55,1723.95,No
3930_ZGWVE,Male,0,No,No,1,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,MailedCheck,19.75,19.75,No
2639_UGMAZ,Male,1,No,No,71,No,NoPhoneService,DSL,Yes,Yes,No,No,Yes,Yes,OneYear,Yes,ElectronicCheck,56.45,3985.35,No
2876_GZYZC,Female,0,No,No,13,Yes,Yes,FiberOptic,No,No,No,No,No,Yes,Month_to_month,Yes,ElectronicCheck,85.95,1215.65,No
6207_WIOLX,Female,0,Yes,Yes,25,No,NoPhoneService,DSL,Yes,Yes,Yes,No,Yes,Yes,Month_to_month,Yes,CreditCardAutomatic,58.6,1502.65,Yes
8587_XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,TwoYear,No,BankTransferAutomatic,50.55,3260.1,No
3091_FYHKI,Male,0,No,No,1,No,NoPhoneService,DSL,No,No,No,No,No,Yes,Month_to_month,Yes,ElectronicCheck,35.45,35.45,Yes
2372_HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month_to_month,No,ElectronicCheck,44.35,81.25,Yes
7799_LGRDP,Female,0,No,No,43,Yes,Yes,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,Yes,CreditCardAutomatic,25.7,1188.2,No
7850_VWJUU,Female,0,No,No,23,Yes,No,FiberOptic,Yes,No,No,No,No,No,Month_to_month,Yes,BankTransferAutomatic,75,1778.5,No
3774_VBNXY,Female,0,Yes,Yes,64,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,MailedCheck,20.2,1277.75,No
6217_KDYWC,Male,0,No,Yes,57,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,Yes,MailedCheck,19.6,1170.55,No
0390_DCFDQ,Female,1,Yes,No,1,Yes,No,FiberOptic,No,No,No,No,No,No,Month_to_month,Yes,MailedCheck,70.45,70.45,Yes
3146_MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,TwoYear,Yes,CreditCardAutomatic,88.05,6425.65,No
4080_OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month_to_month,No,ElectronicCheck,71.15,563.65,Yes
1095_WGNGG,Female,0,Yes,No,61,Yes,Yes,FiberOptic,No,Yes,No,No,Yes,Yes,TwoYear,Yes,BankTransferAutomatic,101.05,5971.25,No
2636_SJDOU,Male,0,No,No,64,Yes,Yes,FiberOptic,Yes,Yes,No,No,No,No,OneYear,Yes,CreditCardAutomatic,84.3,5289.05,No
1131_QQZEB,Male,1,Yes,No,71,Yes,Yes,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,TwoYear,No,BankTransferAutomatic,23.95,1756.2,No
5716_EZXZN,Female,0,Yes,Yes,65,Yes,Yes,FiberOptic,Yes,Yes,No,Yes,Yes,No,TwoYear,Yes,CreditCardAutomatic,99.05,6416.7,No
6837_BJYDQ,Male,0,No,No,3,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,OneYear,No,MailedCheck,19.6,61.35,No
2135_RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month_to_month,Yes,ElectronicCheck,45.65,45.65,Yes
6440_DKQGE,Male,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,OneYear,No,CreditCardAutomatic,64.5,1929.95,No
3466_BYAVD,Male,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month_to_month,Yes,MailedCheck,69.5,1071.4,No
3780_YVMFA,Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month_to_month,Yes,ElectronicCheck,68.55,564.35,No
3874_EQOEP,Male,0,No,No,7,Yes,Yes,FiberOptic,No,No,No,No,Yes,Yes,Month_to_month,No,MailedCheck,95,655.5,Yes
1679_JRFBR,Female,0,Yes,Yes,70,Yes,Yes,FiberOptic,Yes,Yes,Yes,No,Yes,Yes,OneYear,Yes,CreditCardAutomatic,108.15,7930.55,No
9073_ZZIAY,Male,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,TwoYear,No,ElectronicCheck,86.1,5215.25,No
3077_RSNTJ,Female,0,Yes,Yes,6,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,Month_to_month,No,MailedCheck,19.7,113.5,No
6551_GNYDG,Female,0,Yes,Yes,14,Yes,No,FiberOptic,No,No,No,No,No,Yes,Month_to_month,Yes,BankTransferAutomatic,80.9,1152.8,No
9167_APMXZ,Female,0,No,No,22,Yes,Yes,FiberOptic,No,No,No,No,Yes,No,Month_to_month,Yes,BankTransferAutomatic,84.15,1821.95,No
2749_CTKAJ,Male,0,Yes,Yes,22,Yes,No,No,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,NoInternetService,OneYear,No,MailedCheck,20.15,419.9,No
6371_NZYEG,Male,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,TwoYear,No,MailedCheck,64.25,1024,No
